0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:34:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:34:22 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:34:22 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 200 20016
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:34:22 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:02 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:06 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:27 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:35:39 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:46:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:46:57 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:46:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:47:03 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:47:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:51:40 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5935
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:51:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:51:46 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:00 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:07 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:07 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:53:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:54:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:54:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:54:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:58:05 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:59:13 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:59:27 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 7744
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:59:37 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:01:10 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:01:10 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:02:16 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:02:32 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:02:34 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:05:56 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 8992
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:10:51 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:10:54 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13898
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:10:57 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10477
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:12:00 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:18:11 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:18:11 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:18:11 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
